Grant ID,Funder Name,Funder EIN,Grantee,Grantee EIN,Award Amount,Date Awarded,Period Start,Period End,PCS Subject,PCS Population,Support Strategy,Transaction Type,State,City,Grant Purpose
CG-1000,Cascadia Community Trust,91-1234567,Prairie Food Network,94-7778889,778000,2024-10-15,2024-10-01,2025-10-01,SD000000,PA020000,UB000000,TC000000,MI,Seattle,Support for policy research and community organizing.
CG-1001,Merrivale Foundation,13-7654321,Prairie Food Network,94-7778889,50000,2021-07-15,2021-07-01,2024-07-01,SB020000,PC040000,UC000000,TC000000,CA,Detroit,Project support for a two-year expansion of direct services.
CG-1002,Ostrander Family Fund,45-2468013,Harbor Health Partners,94-4445556,437000,2021-12-15,2021-12-01,2024-12-01,SB050200,PB000000,UD010000,TC000000,TX,Oakland,Project support for a two-year expansion of direct services.
CG-1003,Cascadia Community Trust,91-1234567,Clearwater Conservation Trust,94-3334445,664000,2022-12-15,2022-12-01,2023-12-01,SB050200; SB020000,PA020000,UA000000,TA000000,OR,Oakland,Capacity building: financial systems and staff development.
CG-1004,Merrivale Foundation,13-7654321,Foothills Literacy Project,94-5556667,638000,2022-02-15,2022-02-01,2025-02-01,SB050200; SR000000,PA020000,UC000000,TA000000,TX,Portland,General operating support for core programs.
CG-1005,Ostrander Family Fund,45-2468013,Northside Youth Collective,94-1112223,253000,2023-02-15,2023-02-01,2024-02-01,SC010000,PD010000,UB000000,TB000000,NY,Oakland,Capacity building: financial systems and staff development.
CG-1006,Cascadia Community Trust,91-1234567,Harbor Health Partners,94-4445556,562000,2022-09-15,2022-09-01,2024-09-01,SB050200,PA010000,UC000000,TA000000,WA,Seattle,General operating support for core programs.
CG-1007,Merrivale Foundation,13-7654321,Harbor Health Partners,94-4445556,144000,2022-11-15,2022-11-01,2023-11-01,SJ000000; SJ000000,PB000000,UB000000,TA000000,OR,Portland,Capacity building: financial systems and staff development.
CG-1008,Ostrander Family Fund,45-2468013,Harbor Health Partners,94-4445556,671000,2024-09-15,2024-09-01,2027-09-01,SJ000000,PD010000,UD010000,TC000000,CA,Oakland,Project support for a two-year expansion of direct services.
CG-1009,Cascadia Community Trust,91-1234567,Delta Arts Coalition,94-6667778,559000,2021-10-15,2021-10-01,2022-10-01,SB020000,PD010000,UD010000,TB000000,MI,Seattle,Support for policy research and community organizing.
CG-1010,Merrivale Foundation,13-7654321,Prairie Food Network,94-7778889,247000,2024-12-15,2024-12-01,2025-12-01,SC010000,PA010000,UD010000,TC000000,MI,Detroit,Capacity building: financial systems and staff development.
CG-1011,Ostrander Family Fund,45-2468013,Clearwater Conservation Trust,94-3334445,209000,2022-07-15,2022-07-01,2024-07-01,SE000000,PC010000,UC000000,TA000000,WA,Portland,Project support for a two-year expansion of direct services.
CG-1012,Cascadia Community Trust,91-1234567,Harbor Health Partners,94-4445556,111000,2024-05-15,2024-05-01,2027-05-01,SE000000; SR000000,PA020000,UC000000,TB000000,TX,Seattle,Capacity building: financial systems and staff development.
CG-1013,Merrivale Foundation,13-7654321,Northside Youth Collective,94-1112223,417000,2021-03-15,2021-03-01,2024-03-01,SD000000; SE000000,PB000000,UD010000,TC000000,WA,Seattle,General operating support for core programs.
CG-1014,Ostrander Family Fund,45-2468013,Delta Arts Coalition,94-6667778,506000,2021-01-15,2021-01-01,2022-01-01,SC010000,PA010000,UA000000,TA000000,WA,Oakland,Support for policy research and community organizing.
