grant_no,foundation,organization,amount,date,purpose,state
U-2000,Cascadia Community Trust,Meridian Legal Aid,36000,2023-11-26,To expand affordable housing development in the east district,TX
U-2001,Merrivale Foundation,Prairie Food Network,272000,2022-02-08,For capacity building and executive leadership transition,OR
U-2002,Ostrander Family Fund,Northside Youth Collective,213000,2022-04-26,For legal representation of tenants facing eviction,MI
U-2003,Cascadia Community Trust,Clearwater Conservation Trust,16000,2023-04-27,For capacity building and executive leadership transition,MI
U-2004,Merrivale Foundation,Foothills Literacy Project,39000,2022-01-03,To support undergraduate scholarships for first-generation students,WA
U-2005,Ostrander Family Fund,Prairie Food Network,55000,2024-01-18,For capacity building and executive leadership transition,MI
U-2006,Cascadia Community Trust,Delta Arts Coalition,8000,2022-05-27,To fund a mobile food pantry serving rural households,MI
U-2007,Merrivale Foundation,Clearwater Conservation Trust,133000,2022-07-17,To expand affordable housing development in the east district,TX
U-2008,Ostrander Family Fund,Riverbend Housing Alliance,109000,2023-06-20,To support undergraduate scholarships for first-generation students,CA
U-2009,Cascadia Community Trust,Foothills Literacy Project,216000,2023-01-26,General support for youth arts programming,OR
U-2010,Merrivale Foundation,Delta Arts Coalition,6000,2023-03-25,To support undergraduate scholarships for first-generation students,NY
U-2011,Ostrander Family Fund,Meridian Legal Aid,110000,2023-08-02,For capacity building and executive leadership transition,OR
U-2012,Cascadia Community Trust,Delta Arts Coalition,263000,2024-12-06,Support for watershed restoration and salmon habitat monitoring,NY
U-2013,Merrivale Foundation,Delta Arts Coalition,126000,2024-08-22,Support for watershed restoration and salmon habitat monitoring,OR
U-2014,Ostrander Family Fund,Harbor Health Partners,18000,2024-12-19,To expand affordable housing development in the east district,MI
U-2015,Cascadia Community Trust,Riverbend Housing Alliance,79000,2023-11-22,General support for youth arts programming,WA
U-2016,Merrivale Foundation,Prairie Food Network,79000,2022-01-02,General support for youth arts programming,CA
U-2017,Ostrander Family Fund,Foothills Literacy Project,74000,2022-01-21,General support for youth arts programming,OR
U-2018,Cascadia Community Trust,Meridian Legal Aid,314000,2022-10-05,To support undergraduate scholarships for first-generation students,NY
U-2019,Merrivale Foundation,Northside Youth Collective,262000,2023-01-27,To support undergraduate scholarships for first-generation students,WA
U-2020,Ostrander Family Fund,Riverbend Housing Alliance,18000,2024-11-19,For legal representation of tenants facing eviction,WA
U-2021,Cascadia Community Trust,Harbor Health Partners,176000,2023-01-05,Support for watershed restoration and salmon habitat monitoring,WA
U-2022,Merrivale Foundation,Northside Youth Collective,88000,2023-06-06,Support for watershed restoration and salmon habitat monitoring,NY
U-2023,Ostrander Family Fund,Riverbend Housing Alliance,341000,2022-11-28,For general operating support of a community health clinic,MI
U-2024,Cascadia Community Trust,Clearwater Conservation Trust,312000,2022-01-22,For capacity building and executive leadership transition,NY
U-2025,Merrivale Foundation,Meridian Legal Aid,334000,2023-03-05,For capacity building and executive leadership transition,TX
U-2026,Ostrander Family Fund,Delta Arts Coalition,39000,2024-05-08,For capacity building and executive leadership transition,TX
U-2027,Cascadia Community Trust,Delta Arts Coalition,390000,2024-09-10,To expand affordable housing development in the east district,TX
U-2028,Merrivale Foundation,Northside Youth Collective,220000,2022-06-13,To expand affordable housing development in the east district,MI
U-2029,Ostrander Family Fund,Northside Youth Collective,278000,2022-08-12,To support undergraduate scholarships for first-generation students,NY
U-2030,Cascadia Community Trust,Harbor Health Partners,233000,2023-02-12,To expand affordable housing development in the east district,NY
U-2031,Merrivale Foundation,Meridian Legal Aid,78000,2022-09-14,For capacity building and executive leadership transition,WA
U-2032,Ostrander Family Fund,Northside Youth Collective,335000,2022-03-27,For general operating support of a community health clinic,WA
U-2033,Cascadia Community Trust,Meridian Legal Aid,294000,2022-10-03,To support undergraduate scholarships for first-generation students,NY
U-2034,Merrivale Foundation,Delta Arts Coalition,154000,2023-03-28,For general operating support of a community health clinic,MI
U-2035,Ostrander Family Fund,Delta Arts Coalition,346000,2023-06-01,To fund a mobile food pantry serving rural households,OR
U-2036,Cascadia Community Trust,Prairie Food Network,20000,2024-08-24,Support for watershed restoration and salmon habitat monitoring,WA
U-2037,Merrivale Foundation,Foothills Literacy Project,333000,2024-09-21,To expand affordable housing development in the east district,WA
U-2038,Ostrander Family Fund,Delta Arts Coalition,12000,2022-09-22,For legal representation of tenants facing eviction,MI
U-2039,Cascadia Community Trust,Delta Arts Coalition,205000,2023-05-26,General support for youth arts programming,MI
U-2040,Merrivale Foundation,Prairie Food Network,123000,2024-09-24,Support for watershed restoration and salmon habitat monitoring,OR
U-2041,Ostrander Family Fund,Riverbend Housing Alliance,361000,2022-12-16,To fund a mobile food pantry serving rural households,CA
U-2042,Cascadia Community Trust,Delta Arts Coalition,329000,2023-11-02,To expand affordable housing development in the east district,TX
U-2043,Merrivale Foundation,Delta Arts Coalition,147000,2024-06-08,To support undergraduate scholarships for first-generation students,OR
U-2044,Ostrander Family Fund,Northside Youth Collective,180000,2022-04-21,General support for youth arts programming,MI
U-2045,Cascadia Community Trust,Prairie Food Network,48000,2023-12-10,Support for watershed restoration and salmon habitat monitoring,CA
U-2046,Merrivale Foundation,Delta Arts Coalition,261000,2023-05-24,For capacity building and executive leadership transition,TX
U-2047,Ostrander Family Fund,Prairie Food Network,282000,2024-07-12,For legal representation of tenants facing eviction,WA
U-2048,Cascadia Community Trust,Foothills Literacy Project,109000,2023-09-16,Support for watershed restoration and salmon habitat monitoring,OR
U-2049,Merrivale Foundation,Prairie Food Network,153000,2024-10-23,To fund a mobile food pantry serving rural households,WA
U-2050,Ostrander Family Fund,Northside Youth Collective,12000,2022-04-09,To fund a mobile food pantry serving rural households,OR
U-2051,Cascadia Community Trust,Riverbend Housing Alliance,298000,2023-06-07,To expand affordable housing development in the east district,TX
U-2052,Merrivale Foundation,Clearwater Conservation Trust,249000,2023-04-23,Support for watershed restoration and salmon habitat monitoring,TX
U-2053,Ostrander Family Fund,Northside Youth Collective,306000,2023-08-03,To fund a mobile food pantry serving rural households,WA
U-2054,Cascadia Community Trust,Clearwater Conservation Trust,94000,2022-10-08,For legal representation of tenants facing eviction,TX
U-2055,Merrivale Foundation,Clearwater Conservation Trust,381000,2023-05-19,For general operating support of a community health clinic,MI
U-2056,Ostrander Family Fund,Harbor Health Partners,49000,2022-02-11,General support for youth arts programming,OR
U-2057,Cascadia Community Trust,Harbor Health Partners,352000,2022-02-01,For capacity building and executive leadership transition,OR
U-2058,Merrivale Foundation,Meridian Legal Aid,349000,2022-10-05,To fund a mobile food pantry serving rural households,WA
U-2059,Ostrander Family Fund,Clearwater Conservation Trust,131000,2024-02-03,For general operating support of a community health clinic,CA
U-2060,Cascadia Community Trust,Riverbend Housing Alliance,337000,2024-06-11,To support undergraduate scholarships for first-generation students,TX
U-2061,Merrivale Foundation,Harbor Health Partners,59000,2024-02-25,To expand affordable housing development in the east district,OR
U-2062,Ostrander Family Fund,Prairie Food Network,147000,2022-09-26,To support undergraduate scholarships for first-generation students,NY
U-2063,Cascadia Community Trust,Clearwater Conservation Trust,222000,2023-11-13,For legal representation of tenants facing eviction,CA
U-2064,Merrivale Foundation,Harbor Health Partners,349000,2024-01-05,For general operating support of a community health clinic,CA
U-2065,Ostrander Family Fund,Riverbend Housing Alliance,114000,2024-09-02,For general operating support of a community health clinic,MI
U-2066,Cascadia Community Trust,Delta Arts Coalition,358000,2024-01-23,For capacity building and executive leadership transition,WA
U-2067,Merrivale Foundation,Prairie Food Network,288000,2024-08-04,To expand affordable housing development in the east district,OR
U-2068,Ostrander Family Fund,Prairie Food Network,179000,2022-12-18,Support for watershed restoration and salmon habitat monitoring,OR
U-2069,Cascadia Community Trust,Harbor Health Partners,330000,2023-08-19,To fund a mobile food pantry serving rural households,CA
U-2070,Merrivale Foundation,Clearwater Conservation Trust,54000,2024-12-21,For capacity building and executive leadership transition,WA
U-2071,Ostrander Family Fund,Harbor Health Partners,134000,2022-12-22,To support undergraduate scholarships for first-generation students,MI
U-2072,Cascadia Community Trust,Riverbend Housing Alliance,243000,2024-12-14,For general operating support of a community health clinic,WA
U-2073,Merrivale Foundation,Clearwater Conservation Trust,29000,2024-03-07,For general operating support of a community health clinic,MI
U-2074,Ostrander Family Fund,Prairie Food Network,50000,2023-01-25,To expand affordable housing development in the east district,WA
U-2075,Cascadia Community Trust,Meridian Legal Aid,319000,2022-09-14,Support for watershed restoration and salmon habitat monitoring,TX
